No.	Time	Source	Destination	Protocol	Length	Info
11	0.102136	144.38.26.50	224.0.0.251	MDNS	274	"Standard query response 0x0000 SRV, cache flush 0 0 8770 coding-12.local TXT, cache flush PTR _airdrop._tcp.local PTR 50b589de448d._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe2b:ffcb A, cache flush 144.38.26.50 NSEC, cache flush coding-12.local NSEC, cache flush 50b589de448d._airdrop._tcp.local"
12	0.102137	fe80::3ac9:86ff:fe2b:ffcb	ff02::fb	MDNS	294	"Standard query response 0x0000 SRV, cache flush 0 0 8770 coding-12.local TXT, cache flush PTR _airdrop._tcp.local PTR 50b589de448d._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe2b:ffcb A, cache flush 144.38.26.50 NSEC, cache flush coding-12.local NSEC, cache flush 50b589de448d._airdrop._tcp.local"
13	0.141636	81.171.5.50	144.38.26.47	TLSv1.2	312	Application Data
14	0.151137	144.38.26.43	224.0.0.251	MDNS	286	"Standard query response 0x0000 SRV, cache flush 0 0 8770 Likekes-MacBook-Pro-3.local TXT, cache flush PTR _airdrop._tcp.local PTR 107d9174a4a7._airdrop._tcp.local AAAA, cache flush fe80::e4d:e9ff:fed0:add1 A, cache flush 144.38.26.43 NSEC, cache flush Likekes-MacBook-Pro-3.local NSEC, cache flush 107d9174a4a7._airdrop._tcp.local"
15	0.151138	fe80::e4d:e9ff:fed0:add1	ff02::fb	MDNS	306	"Standard query response 0x0000 SRV, cache flush 0 0 8770 Likekes-MacBook-Pro-3.local TXT, cache flush PTR _airdrop._tcp.local PTR 107d9174a4a7._airdrop._tcp.local AAAA, cache flush fe80::e4d:e9ff:fed0:add1 A, cache flush 144.38.26.43 NSEC, cache flush Likekes-MacBook-Pro-3.local NSEC, cache flush 107d9174a4a7._airdrop._tcp.local"
16	0.166886	144.38.26.47	216.58.219.14	TCP	66	51127 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
17	0.188034	216.58.219.14	144.38.26.47	TCP	66	"443 > 51127 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1380 SACK_PERM=1 WS=128"
18	0.188119	144.38.26.47	216.58.219.14	TCP	54	51127 > 443 [ACK] Seq=1 Ack=1 Win=66048 Len=0
19	0.188358	144.38.26.47	216.58.219.14	TLSv1.2	571	Client Hello
20	0.191703	144.38.26.47	81.171.5.50	TCP	54	51002 > 443 [ACK] Seq=631 Ack=259 Win=257 Len=0
21	0.192652	144.38.26.50	144.38.27.255	BJNP	60	Scanner Command: Discover
22	0.192652	144.38.26.50	224.0.0.1	BJNP	60	Scanner Command: Discover
23	0.209677	216.58.219.14	144.38.26.47	TCP	60	443 > 51127 [ACK] Seq=1 Ack=518 Win=44032 Len=0
24	0.210229	216.58.219.14	144.38.26.47	TLSv1.2	214	"Server Hello, Change Cipher Spec, Hello Request, Hello Request"
25	0.210997	144.38.26.47	216.58.219.14	TLSv1.2	270	"Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
26	0.212981	144.38.26.47	216.58.219.14	TLSv1.2	107	Application Data
27	0.213018	144.38.26.47	216.58.219.14	TLSv1.2	110	Application Data
28	0.213046	144.38.26.47	216.58.219.14	TLSv1.2	96	Application Data
29	0.232677	216.58.219.14	144.38.26.47	TLSv1.2	110	Application Data
30	0.232678	216.58.219.14	144.38.26.47	TLSv1.2	96	Application Data
31	0.232762	144.38.26.47	216.58.219.14	TCP	54	51127 > 443 [ACK] Seq=885 Ack=259 Win=65792 Len=0
32	0.232958	144.38.26.47	216.58.219.14	TLSv1.2	92	Application Data
33	0.234019	216.58.219.14	144.38.26.47	TCP	60	443 > 51127 [ACK] Seq=259 Ack=885 Win=45056 Len=0
34	0.234019	216.58.219.14	144.38.26.47	TLSv1.2	92	Application Data
35	0.25574	144.38.27.22	144.38.27.255	UDP	305	54915 > 54915 Len=263
36	0.284373	144.38.26.47	216.58.219.14	TCP	54	51127 > 443 [ACK] Seq=923 Ack=297 Win=65792 Len=0
37	0.29437	216.58.219.14	144.38.26.47	TCP	60	443 > 51127 [ACK] Seq=297 Ack=923 Win=45056 Len=0
38	0.540462	144.38.27.21	144.38.27.255	NBNS	92	Name query NB BRW1C3E84866C1F<00>
39	0.566331	74.125.28.189	144.38.26.47	QUIC	100	"Payload (Encrypted), PKN: 55"
40	0.566332	74.125.28.189	144.38.26.47	QUIC	61	"Payload (Encrypted), PKN: 56"
41	0.566545	144.38.26.47	74.125.28.189	QUIC	81	"Payload (Encrypted), PKN: 70, CID: 7612788335750802553"
42	0.598714	Dell_40:94:51	Broadcast	ARP	60	Who has 144.38.26.1? Tell 144.38.27.36
43	0.66071	144.38.26.59	224.0.0.251	MDNS	82	"Standard query 0x0000 AAAA Roberts-Mac-mini.local, ""QM"" question"
44	0.660711	fe80::49:3d8:aa62:8385	ff02::fb	MDNS	102	"Standard query 0x0000 AAAA Roberts-Mac-mini.local, ""QM"" question"
45	0.690674	144.38.26.19	239.255.255.250	SSDP	215	M-SEARCH * HTTP/1.1 
46	0.806294	144.38.27.55	144.38.27.255	UDP	305	54915 > 54915 Len=263
47	0.850485	144.38.26.57	255.255.255.255	DB-LSP-DISC	341	Dropbox LAN sync Discovery Protocol
48	0.850487	144.38.26.57	144.38.27.255	DB-LSP-DISC	341	Dropbox LAN sync Discovery Protocol
49	0.992529	144.38.26.47	74.125.25.189	QUIC	1392	"Client Hello, PKN: 1, CID: 8565321642012541407"
50	0.992977	144.38.26.47	74.125.25.189	QUIC	718	"Payload (Encrypted), PKN: 2, CID: 8565321642012541407"
51	1.033127	74.125.25.189	144.38.26.47	QUIC	1392	"Payload (Encrypted), PKN: 1"
52	1.03313	74.125.25.189	144.38.26.47	QUIC	72	"Payload (Encrypted), PKN: 2"
53	1.058903	144.38.26.47	74.125.25.189	QUIC	80	"Payload (Encrypted), PKN: 3, CID: 8565321642012541407"
54	1.081063	74.125.25.189	144.38.26.47	QUIC	803	"Payload (Encrypted), PKN: 3"
55	1.085556	74.125.25.189	144.38.26.47	QUIC	78	"Payload (Encrypted), PKN: 4"
56	1.085705	144.38.26.47	74.125.25.189	QUIC	80	"Payload (Encrypted), PKN: 4, CID: 8565321642012541407"
57	1.087969	144.38.26.47	74.125.28.189	QUIC	376	"Payload (Encrypted), PKN: 71, CID: 7612788335750802553"
58	1.108987	144.38.26.43	224.0.0.251	MDNS	104	"Standard query 0x0000 SRV CanonMF4800._pdl-datastream._tcp.local, ""QM"" question TXT CanonMF4800._pdl-datastream._tcp.local, ""QM"" question"
59	1.108988	fe80::e4d:e9ff:fed0:add1	ff02::fb	MDNS	124	"Standard query 0x0000 SRV CanonMF4800._pdl-datastream._tcp.local, ""QM"" question TXT CanonMF4800._pdl-datastream._tcp.local, ""QM"" question"
60	1.127662	CiscoInc_e8:aa:a2	Spanning-tree-(for-bridges)_00	STP	60	Conf. TC + Root = 32768/1069/00:08:2f:36:6e:80  Cost = 3027  Port = 0x8022
61	1.15207	74.125.28.189	144.38.26.47	QUIC	73	"Payload (Encrypted), PKN: 57"
62	1.196781	144.38.27.8	239.255.255.250	SSDP	316	NOTIFY * HTTP/1.1 
63	1.222886	fe80::5df3:f70e:f4d8:c00	ff02::1:3	LLMNR	94	Standard query 0xf0ee A hrhvfddltagvsu
64	1.222887	fe80::5df3:f70e:f4d8:c00	ff02::1:3	LLMNR	88	Standard query 0x2976 A oysyhzta
65	1.222888	fe80::5df3:f70e:f4d8:c00	ff02::1:3	LLMNR	88	Standard query 0xd9c6 A lcvkvzzq
66	1.222901	144.38.27.54	224.0.0.252	LLMNR	74	Standard query 0xf0ee A hrhvfddltagvsu
67	1.222901	144.38.27.54	224.0.0.252	LLMNR	68	Standard query 0xd9c6 A lcvkvzzq
68	1.222905	144.38.27.54	224.0.0.252	LLMNR	68	Standard query 0x2976 A oysyhzta
